Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,56.932,57.3484,2,1,0.4157,,11,2,112,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,57.3488,57.749,3,1,0.3997,,11,3,113,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,57.7495,58.2484,1,1,0.486,,11,4,114,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,58.2489,58.7318,1,1,0.4705,,11,5,115,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,58.7323,59.2312,4,0,0.4855,,11,6,116,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,59.2315,59.9973,2,1,0.7533,,11,7,117,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,59.9978,60.6651,4,1,0.6548,,11,8,118,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,60.6655,61.1317,1,1,0.456,,11,9,119,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,61.1321,61.5484,2,1,0.4034,,12,0,120,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,61.5488,62.0481,3,1,0.4853,,12,1,121,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,62.0484,62.5308,2,1,0.4707,,12,2,122,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,62.5312,62.7644,3,1,0.2313,,12,3,123,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,62.7647,63.3152,1,1,0.5409,,12,4,124,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,63.3156,63.7985,1,1,0.4701,,12,5,125,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,63.7989,64.2975,3,1,0.487,,12,6,126,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,64.2978,64.7486,2,1,0.4387,,12,7,127,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,64.7491,64.9808,3,0,0.2192,,12,8,128,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,64.9812,65.5485,1,1,0.5538,,12,9,129,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,65.549,66.0485,2,1,0.4856,,13,0,130,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,66.0489,66.5309,3,1,0.4691,,13,1,131,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,66.5312,66.9653,2,1,0.4217,,13,2,132,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,66.9657,67.381,3,1,0.407,,13,3,133,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,67.3815,67.8819,1,1,0.4876,,13,4,134,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,67.8823,68.3486,1,1,0.4543,,13,5,135,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,68.3491,68.8487,3,1,0.4869,,13,6,136,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,68.849,69.3153,2,1,0.4537,,13,7,137,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,69.3157,69.5653,3,0,0.249,,13,8,138,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,69.5657,70.1655,1,1,0.5871,,13,9,139,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,70.1659,70.6488,2,1,0.4701,,14,0,140,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,70.6491,71.1143,3,1,0.4551,,14,1,141,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,71.1147,71.4151,2,1,0.3002,,14,2,142,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,71.4155,71.9317,3,1,0.5102,,14,3,143,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,71.9321,72.4316,1,1,0.4863,,14,4,144,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,72.432,72.8653,3,0,0.4207,,14,5,145,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,72.8657,73.6154,3,1,0.7373,,14,6,146,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,73.6158,74.2322,2,1,0.6059,,14,7,147,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,74.2326,74.7655,4,1,0.5231,,14,8,148,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,74.7659,75.2156,1,1,0.4377,,14,9,149,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,75.216,75.6815,2,1,0.4536,,15,0,150,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,75.682,76.149,4,0,0.4548,,15,1,151,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,76.1494,76.8656,2,1,0.7036,,15,2,152,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,76.866,77.299,3,1,0.4205,,15,3,153,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,77.2994,77.8646,1,1,0.5527,,15,4,154,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,77.8649,78.3656,1,1,0.4927,,15,5,155,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,78.3661,79.0325,3,1,0.6535,,15,6,156,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,79.0329,79.6323,2,1,0.5887,,15,7,157,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,79.6328,80.1811,4,1,0.5366,,15,8,158,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,80.1813,80.649,1,1,0.4551,,15,9,159,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,80.6494,81.0992,2,1,0.4414,,16,0,160,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,81.0997,81.4823,3,1,0.3721,,16,1,161,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,81.4828,81.9156,2,1,0.4198,,16,2,162,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,81.916,82.4824,3,1,0.5536,,16,3,163,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,82.4828,82.9648,1,1,0.4702,,16,4,164,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,82.9651,83.4491,1,1,0.4737,,16,5,165,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,83.4495,83.9326,3,1,0.4736,,16,6,166,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,83.9328,84.3482,2,1,0.4041,,16,7,167,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,84.3487,84.999,4,1,0.6371,,16,8,168,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,84.9992,85.4992,1,1,0.488,,16,9,169,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,85.4996,85.9491,2,1,0.4386,,17,0,170,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,85.9497,86.3493,3,1,0.3879,,17,1,171,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,86.3496,86.7824,2,1,0.432,,17,2,172,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,86.7827,87.2659,3,1,0.4695,,17,3,173,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,87.2664,87.8154,1,1,0.5377,,17,4,174,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,87.8158,88.3151,1,1,0.4884,,17,5,175,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,88.3155,88.7655,3,1,0.4495,,17,6,176,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,88.7658,89.2326,2,1,0.458,,17,7,177,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,89.2329,89.8827,4,1,0.6364,,17,8,178,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,89.8829,90.4651,1,1,0.57,,17,9,179,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,90.4655,90.9483,2,1,0.4817,,18,0,180,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,90.9487,91.3319,3,1,0.3705,,18,1,181,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,91.3322,91.7824,2,1,0.4384,,18,2,182,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,91.7828,92.1994,3,1,0.404,,18,3,183,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,92.1998,92.7831,1,1,0.5828,,18,4,184,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,92.7835,93.2661,1,1,0.4696,,18,5,185,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,93.2666,93.7985,3,1,0.5244,,18,6,186,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,93.7988,94.1994,2,1,0.3889,,18,7,187,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,94.1998,94.4994,3,0,0.2874,,18,8,188,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,94.4998,95.0158,1,1,0.5019,,18,9,189,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,95.016,95.5495,3,0,0.5202,,19,0,190,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,95.5498,95.6829,2,0,0.1191,,19,1,191,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,95.6832,96.2328,2,1,0.5419,,19,2,192,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,96.2332,96.7492,3,1,0.5024,,19,3,193,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,96.7495,97.1327,2,0,0.3738,,19,4,194,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,97.1331,97.7492,1,1,0.602,,19,5,195,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,97.7494,98.365,3,1,0.6015,,19,6,196,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,98.3651,98.8492,2,1,0.4732,,19,7,197,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,98.8493,99.2159,3,0,0.3652,,19,8,198,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,99.216,99.715,1,1,0.4851,,19,9,199,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,99.7209,100.5163,4,1,0.7826,,,,,,,9,L,,4,0,0,0,8,1,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,100.517,101.0164,1,1,0.4862,,,,,,,6,I,,1,0,1,1,5,1,,
