Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,209.7428,210.3427,1,1,0.5996,,15,5,155,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,210.3431,211.0763,3,1,0.7315,,15,6,156,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,211.0766,211.5096,2,1,0.4322,,15,7,157,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,211.5099,212.1927,4,1,0.6815,,15,8,158,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,212.1931,212.626,1,1,0.432,,15,9,159,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,212.6262,213.2759,2,1,0.6451,,16,0,160,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,213.2761,213.7106,3,1,0.434,,16,1,161,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,213.7109,214.2266,2,1,0.5142,,16,2,162,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,214.2269,214.5928,1,0,0.3645,,16,3,163,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,214.5931,215.7101,1,1,1.116,,16,4,164,4,1,5,I,,1,,,,,,,
